soldiers,127
return,127
petruchio,127
further,127
voice,126
side,126
northumberland,126
fal,126
sorrow,125
marcius,125
hell,125
heavy,125
foot,125
years,123
trust,123
pleasure,123
doubt,123
dog,123
celia,123
achilles,123
warrant,122
twas,122
sad,122
pandarus,122
mrs,122
methinks,122
ist,122
ha,122
enemy,122
deep,122
calld,122
viola,121
valiant,121
sicinius,121
remember,121
merry,121
twenty,120
sister,120
silvia,120
run,120
revenge,120
late,119
common,119
base,119
took,118
ten,118
sebastian,118
unless,117
ground,117
goes,117
either,117
cut,117
coming,117
camillo,117
worse,116
truly,116
thanks,116
needs,116
friar,116
content,116
behold,116
jul,115
air,115
stands,114
patience,114
next,114
maid,114
kings,114
tender,113
salisbury,113
past,113
open,113
mercy,113
door,113
course,113
brave,113
almost,113
romeo,112
oft,112
having,112
hang,112
certain,112
sin,111
report,111
mans,111
fit,111
fie,111
english,111
change,111
sick,110
note,110
haste,110
command,110
suit,109
serve,109
seem,109
grave,109
above,109
wherefore,108
weep,108
strike,108
ii,108
hours,108
hastings,108
already,108
yield,107
withal,107
wise,107
themselves,107
macbeth,107
rich,106
palace,106
ajax,106
thersites,105
lead,105
heavens,105
ears,105
deed,105
cymbeline,105
straight,104
soon,104
pay,104
norfolk,104
london,104
fault,104
duty,104
country,104
charles,104
wherein,103
slain,103
presently,103
liege,103
highness,103
four,103
duchess,103
deny,103
lest,102
knew,102
ulysses,101
sovereign,101
question,101
point,101
lips,101
iii,101
emilia,101
ask,101
angelo,101
witness,100
roman,100
pale,100
posthumus,99
pisanio,99
grow,99
five,99
youll,98
woe,98
saint,98
married,98
ladies,98
hark,98
flesh,98
fast,98
become,98
wolsey,97
spoke,97
person,97
pass,97
bassanio,97
shes,96
oath,96
knave,96
just,96
glad,96
drink,96
attendants,96
sworn,95
moon,95
hair,95
earl,95
cade,95
arm,95
speaks,94
shylock,94
pedro,94
gods,94
gives,94
counsel,94
captain,94
bold,94
bad,94
watch,93
ready,93
letters,93
elizabeth,93
eat,93
bottom,93
women,92
slave,92
paris,92
marcus,92
lovd,92
heir,92
got,92
fell,92
cominius,92
city,92
bosom,92
write,91
wouldst,91
white,91
water,91
strength,91
sirrah,91
sing,91
shepherd,91
met,91
kate,91
chamber,91
adriana,91
loving,90
flourish,90
conscience,90
anon,90
sport,89
soft,89
simple,89
seems,89
often,89
murderer,89
mouth,89
living,89
fare,89
curse,89
want,88
tamora,88
sense,88
bene,88
walk,87
pride,87
march,87
besides,87
speech,86
signior,86
roderigo,86
parts,86
marriage,86
behind,86
bardolph,86
appear,86
action,86
aaron,86
whilst,85
traitor,85
enemies,85
doctor,85
wonder,84
wars,84
spirits,84
princess,84
plain,84
kent,84
dream,84
children,84
battle,84
twere,83
souls,83
malvolio,83
lucio,83
loss,83
longer,83
force,83
favour,83
deeds,83
attend,83
win,82
takes,82
office,82
form,82
fetch,82
entreat,82
confess,82
berowne,82
belarius,82
widow,81
town,81
teach,81
senator,81
rage,81
morning,81
maria,81
launce,81
issue,81
hundred,81
agamemnon,81
vile,80
shows,80
prospero,80
killd,80
cap,80
pistol,79
hermia,79
hell,79
buy,79
book,79
anything,79
aeneas,79
officer,78
lysander,78
going,78
count,78
baptista,78
along,78
troy,77
tale,77
taen,77
somerset,77
promise,77
ourselves,77
moor,77
mighty,77
lion,77
hide,77
fearful,77
castle,77
caius,77
subject,76
paper,76
isabella,76
guiderius,76
feel,76
drum,76
countess,76
awhile,76
a,76
whole,75
touch,75
respect,75
purse,75
noise,75
lordship,75
hor,75
guard,75
green,75
case,75
westmoreland,74
toward,74
polixenes,74
paulina,74
mortal,74
least,74
judgment,74
herself,74
ghost,74
dull,74
bless,74
autolycus,74
provost,73
move,73
learn,73
katherina,73
jest,73
gratiano,73
fresh,73
diomedes,73
danger,73
close,73
bears,73
tower,72
silence,72
pucelle,72
presence,72
pluck,72
lewis,72
knight,72
heads,72
grant,72
emperor,72
dangerous,72
breast,72
bianca,72
whether,71
wheres,71
tot,71
stood,71
short,71
quarrel,71
plague,71
passion,71
lend,71
iv,71
catesby,71
william,70
valour,70
thurio,70
tent,70
pretty,70
leon,70
kept,70
iachimo,70
honourable,70
hadst,70
consent,70
choose,70
calls,70
angry,70
writ,69
virtuous,69
thither,69
princes,69
masters,69
hearing,69
forget,69
died,69
deliver,69
cast,69
beard,69
alarum,69
weak,68
sorry,68
quick,68
prisoner,68
loves,68
judge,68
jaques,68
jack,68
health,68
glory,68
fortunes,68
feast,68
excellent,68
dies,68
chance,68
brain,68
army,68
wounds,67
won,67
understand,67
stephano,67
shake,67
ont,67
kings,67
hurt,67
hamlet,67
glou,67
fools,67
evans,67
begin,67
beg,67
apemantus,67
thence,66
scorn,66
proof,66
patient,66
low,66
lookd,66
lear,66
lack,66
hero,66
forward,66
foolish,66
coward,66
commend,66
claud,66
birth,66
witch,65
whither,65
v,65
throw,65
small,65
receive,65
pains,65
match,65
lucentio,65
holds,65
gates,65
exeter,65
de,65
cloten,65
citizens,65
chamberlain,65
ben,65
went,64
venice,64
turnd,64
try,64
thrice,64
slender,64
saturninus,64
prison,64
golden,64
dinner,64
cleopatra,64
bond,64
year,63
worst,63
theseus,63
tear,63
poins,63
nestor,63
measure,63
lucetta,63
humour,63
honesty,63
gainst,63
forgot,63
folly,63
feed,63
faults,63
arviragus,63
treason,62
taken,62
stop,62
shape,62
pompey,62
ours,62
mer,62
grey,62
fled,62
fashion,62
eer,62
drawn,62
cheek,62
casca,62
blow,62
blind,62
although,62
walls,61
view,61
stir,61
prayers,61
piece,61
perceive,61
harm,61
foes,61
among,61
whence,60
wall,60
vow,60
richmond,60
princely,60
offer,60
mens,60
held,60
fine,60
due,60
broke,60
brief,60
boys,60
banishd,60
aumerle,60
alive,60
adieu,60
womans,59
vows,59
troth,59
touchstone,59
talbot,59
sudden,59
steal,59
rude,59
pyramus,59
offence,59
occasion,59
harry,59
greater,59
florizel,59
chain,59
burn,59
ass,59
yonder,58
wisdom,58
wert,58
title,58
taste,58
suffer,58
smile,58
safe,58
quoth,58
priest,58
precious,58
nerissa,58
malice,58
lavinia,58
laid,58
la,58
knowst,58
doing,58
cross,58
cheer,58
bones,58
bertram,58
aught,58
alack,58
winchester,57
until,57
street,57
peter,57
parolles,57
neck,57
motion,57
mothers,57
miranda,57
making,57
luciana,57
lieutenant,57
lancaster,57
keeps,57
goodly,57
gonzalo,57
excuse,57
corn,57
whereof,56
weary,56
volumnia,56
vain,56
song,56
shadow,56
several,56
rise,56
order,56
mock,56
lorenzo,56
laugh,56
kingdom,56
gremio,56
fluellen,56
double,56
desires,56
cruel,56
brow,56
bitter,56
amen,56
wild,55
whiles,55
struck,55
scarce,55
reads,55
opinion,55
mayst,55
manner,55
labour,55
fears,55
dry,55
church,55
bright,55
ancient,55
aguecheek,55
advantage,55
wound,54
whos,54
trouble,54
rough,54
room,54
quite,54
poet,54
officers,54
katharine,54
int,54
fill,54
fat,54
discourse,54
dauphin,54
costard,54
caliban,54
brothers,54
boyet,54
awake,54
aufidius,54
abroad,54
yourselves,53
wast,53
voices,53
twixt,53
trumpets,53
thomas,53
spent,53
shouldst,53
quince,53
post,53
oph,53
liberty,53
large,53
knowledge,53
glass,53
forest,53
fabian,53
christian,53
carry,53
blame,53
affairs,53
wrongs,52
wretched,52
worship,52
woo,52
wits,52
tribunes,52
tranio,52
steel,52
stanley,52
servants,52
secret,52
red,52
quiet,52
poison,52
patroclus,52
lo,52
hail,52
grows,52
greatness,52
george,52
follows,52
falls,52
dark,52
choice,52
chiron,52
broken,52
blessed,52
bearing,52
andronicus,52
wine,51
weeping,51
wales,51
swords,51
sometime,51
proceed,51
melancholy,51
legs,51
lawful,51
endure,51
depart,51
creature,51
borne,51
affection,51
tybalt,50
throne,50
sort,50
obey,50
humphrey,50
humble,50
heels,50
hangd,50
guilty,50
forbid,50
drunk,50
damnd,50
cunning,50
cried,50
claim,50
archbishop,50
wood,49
tongues,49
terms,49
story,49
sharp,49
niece,49
monster,49
leaves,49
fought,49
foe,49
drop,49
dot,49
camp,49
brothers,49
athens,49
ariel,49
wealth,48
twice,48
towards,48
swift,48
spend,48
sings,48
safety,48
percy,48
oliver,48
merchant,48
mar,48
madness,48
loud,48
jew,48
honours,48
helen,48
gentlewoman,48
forsworn,48
food,48
effect,48
dispatch,48
cries,48
chief,48
blows,48
beyond,48
ways,47
tree,47
top,47
table,47
seven,47
seat,47
seal,47
reasons,47
pure,47
pound,47
murder,47
happiness,47
giving,47
englands,47
condition,47
colour,47
becomes,47
wanton,46
tune,46
thisby,46
thief,46
t,46
spite,46
senators,46
sayst,46
round,46
request,46
remembrance,46
protector,46
proper,46
nought,46
monstrous,46
messala,46
mayor,46
leisure,46
jove,46
idle,46
hit,46
gift,46
fury,46
fond,46
courage,46
caesars,46
beggar,46
beast,46
asleep,46
argument,46
wretch,45
wide,45
trumpet,45
surrey,45
sum,45
sooner,45
slow,45
seeing,45
pleasd,45
owe,45
montague,45
mend,45
knee,45
hermione,45
griefs,45
forgive,45
flies,45
doors,45
diana,45
deadly,45
clear,45
benedick,45
wives,44
wings,44
wicked,44
wait,44
thunder,44
thinks,44
summer,44
stone,44
single,44
seeming,44
rogue,44
remedy,44
reignier,44
private,44
prepare,44
ones,44
octavius,44
natural,44
mortimer,44
memory,44
lovely,44
livd,44
lands,44
jewel,44
finger,44
fame,44
dust,44
dreadful,44
