Shangrao,6579714,People's Republic of China,http://www.wikidata.org/entity/Q48
Luoyang,6549941,People's Republic of China,http://www.wikidata.org/entity/Q48
Rio de Janeiro,6520266,Brazil,http://www.wikidata.org/entity/Q18
Yantai,6516900,People's Republic of China,http://www.wikidata.org/entity/Q48
Quanzhou,6480000,People's Republic of China,http://www.wikidata.org/entity/Q48
Nanjing,6320000,People's Republic of China,http://www.wikidata.org/entity/Q48
Santiago,6257516,Chile,http://www.wikidata.org/entity/Q18
Kunming,6250000,People's Republic of China,http://www.wikidata.org/entity/Q48
Nanchong,6183000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zunyi,6127009,People's Republic of China,http://www.wikidata.org/entity/Q48
Lu'an,6090000,People's Republic of China,http://www.wikidata.org/entity/Q48
Liaocheng,5955300,People's Republic of China,http://www.wikidata.org/entity/Q48
Allahabad,5954391,India,http://www.wikidata.org/entity/Q48
Pune,5945000,India,http://www.wikidata.org/entity/Q48
Surat,5935000,India,http://www.wikidata.org/entity/Q48
Singapore,5888926,Singapore,http://www.wikidata.org/entity/Q48
Xiangyang,5844000,People's Republic of China,http://www.wikidata.org/entity/Q48
Qingdao,5775000,People's Republic of China,http://www.wikidata.org/entity/Q48
Xi'an,5740000,People's Republic of China,http://www.wikidata.org/entity/Q48
Taizhou,5740000,People's Republic of China,http://www.wikidata.org/entity/Q48
Qujing,5729000,People's Republic of China,http://www.wikidata.org/entity/Q48
Changde,5717200,People's Republic of China,http://www.wikidata.org/entity/Q48
Jingzhou,5705900,People's Republic of China,http://www.wikidata.org/entity/Q48
Bangkok,5696409,Thailand,http://www.wikidata.org/entity/Q48
Dazhou,5693000,People's Republic of China,http://www.wikidata.org/entity/Q48
Suzhou,5690000,People's Republic of China,http://www.wikidata.org/entity/Q48
Jieyang,5634000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yulin,5598000,People's Republic of China,http://www.wikidata.org/entity/Q48
Anqing,5590000,People's Republic of China,http://www.wikidata.org/entity/Q48
Nairobi,5545000,Kenya,http://www.wikidata.org/entity/Q15
Xinxiang,5516000,People's Republic of China,http://www.wikidata.org/entity/Q48
Ankara,5503985,Turkey,http://www.wikidata.org/entity/Q46
Ankara,5503985,Turkey,http://www.wikidata.org/entity/Q48
Tai'an,5499000,People's Republic of China,http://www.wikidata.org/entity/Q48
Dezhou,5470000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yangon,5430000,Myanmar,http://www.wikidata.org/entity/Q48
Suihua,5420000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yichun,5400000,People's Republic of China,http://www.wikidata.org/entity/Q48
Qiqihar,5367003,People's Republic of China,http://www.wikidata.org/entity/Q48
Saint Petersburg,5351935,Russia,http://www.wikidata.org/entity/Q46
Saint Petersburg,5351935,Russia,http://www.wikidata.org/entity/Q48
Khartoum,5345000,Sudan,http://www.wikidata.org/entity/Q15
Shantou,5319028,People's Republic of China,http://www.wikidata.org/entity/Q48
Weinan,5300000,People's Republic of China,http://www.wikidata.org/entity/Q48
Suqian,5290000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zhaotong,5252000,People's Republic of China,http://www.wikidata.org/entity/Q48
Fuzhou,5245000,People's Republic of China,http://www.wikidata.org/entity/Q48
Pudong,5187200,People's Republic of China,http://www.wikidata.org/entity/Q48
Yueyang,5158000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yongzhou,5128000,People's Republic of China,http://www.wikidata.org/entity/Q48
Bozhou,5100000,People's Republic of China,http://www.wikidata.org/entity/Q48
Guilin,5046000,People's Republic of China,http://www.wikidata.org/entity/Q48
Nanchang,5042565,People's Republic of China,http://www.wikidata.org/entity/Q48
Xianyang,5040000,People's Republic of China,http://www.wikidata.org/entity/Q48
Taizhou,5031000,People's Republic of China,http://www.wikidata.org/entity/Q48
Harbin,5015000,People's Republic of China,http://www.wikidata.org/entity/Q48
Meizhou,5001000,People's Republic of China,http://www.wikidata.org/entity/Q48
Abidjan,4980000,Ivory Coast,http://www.wikidata.org/entity/Q15
Surabaya,4975000,Indonesia,http://www.wikidata.org/entity/Q48
Mianyang,4945000,People's Republic of China,http://www.wikidata.org/entity/Q48
Shaoxing,4912239,People's Republic of China,http://www.wikidata.org/entity/Q48
Alexandria,4870000,Egypt,http://www.wikidata.org/entity/Q15
Alexandria,4870000,Egypt,http://www.wikidata.org/entity/Q48
Yuncheng,4860000,People's Republic of China,http://www.wikidata.org/entity/Q48
Sydney,4840600,Australia,http://www.wikidata.org/entity/Q538
Pingdingshan,4838000,People's Republic of China,http://www.wikidata.org/entity/Q48
Huai'an,4799889,People's Republic of China,http://www.wikidata.org/entity/Q48
Lianyungang,4790000,People's Republic of China,http://www.wikidata.org/entity/Q48
Ji'an,4759000,People's Republic of China,http://www.wikidata.org/entity/Q48
Jiujiang,4728778,People's Republic of China,http://www.wikidata.org/entity/Q48
Dar es Salaam,4715000,Tanzania,http://www.wikidata.org/entity/Q15
Kaifeng,4676159,People's Republic of China,http://www.wikidata.org/entity/Q48
Xiaogan,4665000,People's Republic of China,http://www.wikidata.org/entity/Q48
